id,question_text,display_text,key,options,is_featured,question type,status,max score,pass score,name in colloquial language,options in language
130,Class visited,,,,,,,,,,
271,Number concept 1,,,,,,,,,,
272,Number concept 2,,,,,,,,,,
273,Number concept 3,,,,,,,,,,
276,Addition 1,,,,,,,,,,
278,Subtraction 1,,,,,,,,,,
280,Multiplication 1,,,,,,,,,,
282,Division 1,,,,,,,,,,
284,Addition 3,,,,,,,,,,
288,Shapes and spatial understanding 1,,,,,,,,,,
299,Measurement: Time 1,,,,,,,,,,
274,Number concept 4,,,,,,,,,,
275,Number concept 5,,,,,,,,,,
277,Addition 2,,,,,,,,,,
279,Subtraction 2,,,,,,,,,,
281,Multiplication 2,,,,,,,,,,
283,Division 2,,,,,,,,,,
285,Subtraction 3,,,,,,,,,,
289,Shapes and spatial understanding 2,,,,,,,,,,
287,Patterns 1,,,,,,,,,,
294,Fractions 1,,,,,,,,,,
291,Gender,,,,,,,,,,
