questiongroup_id|sequence|concept|microconceptgroup|microconcept|questionlevel|questioninformationtype|learningindicator
22|1|number_sense|numbers|oral_number_name_association|beginner|abstract|knowledge
22|2|number_sense|numbers|oral_number_name_association|beginner|abstract|knowledge
22|3|number_sense|numbers|greater_than,equal_to_and_lesser_than_with_numbers_only|beginner|abstract|understanding
22|4|number_sense|sequence|arranging_in_ascending_or_descending_order|beginner|abstract|understanding
22|5|number_operations|addition|addition_with_carry(abstract)|beginner|abstract|understanding
22|6|number_operations|addition|addition_with_carry(abstract)|beginner|abstract|understanding
22|7|number_operations|subtraction|subtraction_with_borrow(abstract)|beginner|abstract|understanding
22|8|number_operations|subtraction|subtraction_with_borrow(abstract)|beginner|abstract|understanding
22|9|number_operations|multiplication|long_multiplication(abstract)|beginner|abstract|understanding
22|10|number_operations|multiplication|long_multiplication(abstract)|beginner|abstract|understanding
22|11|number_operations|division|long_division_without_remainder|beginner|abstract|understanding
22|12|number_operations|division|long_division_with_remainder|beginner|abstract|understanding
22|13|measurements|money|word_problem_measurements_money|intermediate|comprehend|application_or_analytical_skills
22|14|number_operations|multiplication|multiplication_word_problem|intermediate|comprehend|application_or_analytical_skills
22|15|number_operations|division|division_word_problem|intermediate|comprehend|application_or_analytical_skills
22|16|shapes|patterns_in_shapes|observes_and_extends_patterns_in_sequence_of_shapes|beginner|visual|application_or_analytical_skills
22|17|number_sense|number_patterns|number_patterns_with_logic|beginner|abstract|application_or_analytical_skills
22|18|number_sense|fractions|fractions_using_pictures|beginner|semi_abstract|understanding
22|19|number_sense|decimals|relate_fractions_to_decimal_numbers_and_vice_versa|beginner|abstract|understanding
22|20|shapes|solid_shapes|3d_shapes_attributes|beginner|visual|application_or_analytical_skills
