questiongroup_id|sequence|concept|microconceptgroup|microconcept|questionlevel|questioninformationtype|learningindicator
23|1|number_sense|numbers|oral_number_name_association|beginner|abstract|knowledge
23|2|number_sense|numbers|oral_number_name_association|beginner|abstract|knowledge
23|3|number_operations|addition|addition_with_carry(abstract)|beginner|abstract|understanding
23|4|number_operations|addition|addition_with_carry(abstract)|beginner|abstract|understanding
23|5|number_operations|subtraction|subtraction_with_borrow(abstract)|beginner|abstract|understanding
23|6|number_operations|subtraction|subtraction_with_borrow(abstract)|beginner|abstract|understanding
23|7|number_sense|multiplication|long_multiplication(abstract)|beginner|abstract|understanding
23|8|number_operations|multiplication|long_multiplication(abstract)|intermediate|abstract|understanding
23|9|number_operations|division|long_division_without_remainder|beginner|abstract|understanding
23|10|number_operations|division|long_division_without_remainder|beginner|abstract|understanding
23|11|measurements|division|word_problem_measurements_money|intermediate|comprehend|application
23|12|number_sense|division|division_word_problem|intermediate|comprehend|application
23|13|number_sense|decimals|relate_fractions_to_decimal_numbers_and_vice_versa|beginner|abstract|analytical_skills
23|14|number_sense|fractions|part_of_a_whole_object(2d_shapes)_fractions|advanced|abstract|understanding
23|15|number_sense|fractions|fractions_using_pictures|beginner|abstract|understanding
23|16|shapes|flat_shapes|2d_shapes_attributes|intermediate|comprehend|analytical_skills
23|17|measurements|weight|convert_larger_units_to_smaller_units_and_vice_versa_weight|beginner|comprehend|application
23|18|measurements|time|word_problem_measurements_time|intermediate|comprehend|application
23|19|shapes|mensuration|mensuration(area,perimeter,circumference,radius,diameter_etc)|intermediate|comprehend|application
23|20|number_operations|money|word_problem_measurements_money|intermediate|comprehend|application
