questiongroup_id|sequence|concept|microconceptgroup|microconcept|questionlevel|questioninformationtype|learningindicator
46|3|number_sense|numbers|oral_number_name_association|beginner|abstract|knowledge
46|4|number_sense|numbers|greater_than,equal_to_and_lesser_than_with_numbers_only|beginner|abstract|understanding
46|5|number_operations|addition|addition_with_carry(abstract)|beginner|abstract|understanding
46|6|number_operations|subtraction|subtraction_with_borrow(abstract)|beginner|abstract|understanding
46|7|number_operations|multiplication|long_multiplication(abstract)|beginner|abstract|understanding
46|8|number_operations|division|long_division_with_remainder|beginner|abstract|understanding
46|9|number_operations|addition|addition_word_problem|intermediate|comprehend|application_or_analytical_skills
46|10|shapes|patterns_in_shapes|observes_and_extends_patterns_in_sequence_of_shapes|beginner|visual|application_or_analytical_skills
46|11|number_sense|fractions|equivalent_fractions|beginner|abstract|understanding
46|12|number_sense|decimals|relate_fractions_to_decimal_numbers_and_vice_versa|beginner|comprehend|application_or_analytical_skills
46|13|number_sense|place_value|identify_place_value_for_a_given_number_using_math_TLMs|beginner|semi_abstract|application_or_analytical_skills
46|14|number_sense|sequence|arranging_in_ascending_or_descending_order|beginner|abstract|understanding
46|15|number_operations|addition|addition_word_problem|intermediate|comprehend|understanding
46|16|number_operations|subtraction|subtraction_word_problem|intermediate|comprehend|understanding
46|17|number_operations|multiplication|multiplication_word_problem|intermediate|comprehend|application_or_analytical_skills
46|18|number_operations|division|division_word_problem|intermediate|comprehend|application_or_analytical_skills
46|19|number_sense|number_patterns|number_patterns_with_logic|beginner|abstract|application_or_analytical_skills
46|20|shapes|solid_shapes|3d_attributes_or_identify_3d_objects(pictures)|beginner|visual|application_or_analytical_skills
46|21|measurements|time|read_time|beginner|semi_abstract|understanding
46|22|measurements|length_or_weight|convert_larger_units_to_smaller_units_and_vice_versa(length_or_weight)|beginner|abstract|understanding
