questiongroup_id|sequence|concept|microconceptgroup|microconcept|questionlevel|questioninformationtype|learningindicator
47|3|number_sense|numbers|oral_number_name_association|beginner|abstract|knowledge
47|4|number_operations|addition|addition_with_carry(abstract)|beginner|abstract|understanding
47|5|number_operations|subtraction|subtraction_with_borrow(abstract)|beginner|abstract|understanding
47|6|number_operations|multiplication|long_multiplication(abstract)|beginner|abstract|understanding
47|7|number_operations|division|long_division_with_remainder|beginner|abstract|understanding
47|8|number_operations|division|division_word_problem|intermediate|comprehend|application_or_analytical_skills
47|9|measurements|time|convert_24_hours_to_12_hours_and_vice_versa|intermediate|comprehend|understanding
47|10|number_sense|decimals|relate_fractions_to_decimal_numbers_and_vice_versa|beginner|semi_abstract|understanding
47|11|measurements|weight|convert_larger_units_to_smaller_units_and_vice_versa_weight|beginner|comprehend|understanding
47|12|shapes|mensuration|mensuration(area,perimeter,circumference,radius,diameter_etc)|beginner|visual|application_or_analytical_skills
47|13|number_sense|place_value|identify_place_value_for_a_given_number_using_math_TLMs|beginner|semi_abstract|understanding
47|14|number_sense|number_patterns|observes_and_extends_patterns_in_sequence_of_numbers|beginner|abstract|application_or_analytical_skills
47|15|number_sense|fractions|comparision_greater_than,equal_to_and_lesser_than_with_numbers_only|beginner|abstract|application_or_analytical_skills
47|16|shapes|flat_shapes|2d_shapes_attributes|beginner|semi_abstract|understanding
47|17|shapes|mensuration|mensuration(area,perimeter,circumference,radius,diameter_etc)|intermediate|comprehend|application_or_analytical_skills
47|18|shapes|mensuration|angles|beginner|abstract|understanding
47|19|number_sense|fractions|part_of_a_whole_object(2d_shapes)|advanced|abstract|understanding
47|20|measurements|volume|word_problem_measurements_volume|beginner|comprehend|application_or_analytical_skills
47|21|measurements|time|word_problem_measurements_time|beginner|comprehend|application_or_analytical_skills
47|22|shapes|solid_shapes|3d_shapes_and_2d_shapes_relationship|beginner|visual|application_or_analytical_skills
