id,question_text,display_text,key,options,is_featured,question type,status,max score,pass score,name in colloquial language,options in language
130,Class visited,,,,,,,,,,
291,Gender,,,,,,,,,,
271,Number concept 1,,,,,,,,,,
276,Addition 1,,,,,,,,,,
278,Subtraction 1,,,,,,,,,,
280,Multiplication 1,,,,,,,,,,
282,Division 1,,,,,,,,,,
286,Division 3,,,,,,,,,,
299,Measurement: Time 1,,,,,,,,,,
295,Decimal 1,,,,,,,,,,
298,Measurement: Weight 1,,,,,,,,,,
288,Shapes and spatial understanding 1,,,,,,,,,,
272,Number concept 2,,,,,,,,,,
287,Patterns 1,,,,,,,,,,
294,Fractions 1,,,,,,,,,,
289,Shapes and spatial understanding 2,,,,,,,,,,
,Area 1,,Area,"{Yes,No}",True,2,AC,,Yes,,
,Angle 1,,Angle,"{Yes,No}",True,2,AC,,Yes,,
297,Fractions 2,,,,,,,,,,
,Measurement: Volume 1,,Measurement,"{Yes,No}",True,2,AC,,Yes,,
,Measurement: Time 2,,Measurement,"{Yes,No}",True,2,AC,,Yes,,
290,Shapes and spatial understanding 3,,,,,,,,,,
