id,question_text,display_text,key,options,is_featured,question type,status,max score,pass score,name in colloquial language,options in language
130,Class visited,,ivrss-class-visited,"{1, 2, 3, 4, 5, 6, 7, 8}",False,3,AC,,,,
291,Gender,,Gender,"{Male,Female}",False,4,AC,,,,
,Numbers 1,,Number Sense,"{Yes,No}",True,2,AC,,Yes,,
,Addition 1,,Number Operations,"{Yes,No}",True,2,AC,,Yes,,
,Subtraction 1,,Number Operations,"{Yes,No}",True,2,AC,,Yes,,
,Multiplication 1,,Number Operations,"{Yes,No}",True,2,AC,,Yes,,
,Division 1,,Number Operations,"{Yes,No}",True,2,AC,,Yes,,
,Division 3,,Number Operations-Word Problem,"{Yes,No}",True,2,AC,,Yes,,
,Time 1,,Measurements,"{Yes,No}",True,2,AC,,Yes,,
,Decimal 1,,Number Sense,"{Yes,No}",True,2,AC,,Yes,,
,Weight,,Measurements,"{Yes,No}",True,2,AC,,Yes,,
,Mensuration 1,,Shapes,"{Yes,No}",True,2,AC,,Yes,,
,Place Value,,Number Sense,"{Yes,No}",True,2,AC,,Yes,,
,Number patterns,,Number Sense,"{Yes,No}",True,2,AC,,Yes,,
,Fractions 3,,Number Sense,"{Yes,No}",True,2,AC,,Yes,,
,Flat Shapes 1,,Shapes,"{Yes,No}",True,2,AC,,Yes,,
,Mensuration 2,,Shapes,"{Yes,No}",True,2,AC,,Yes,,
,Mensuration 3,,Shapes,"{Yes,No}",True,2,AC,,Yes,,
,Fractions 3,,Number Sense,"{Yes,No}",True,2,AC,,Yes,,
,Volume,,Measurements-Word Problem,"{Yes,No}",True,2,AC,,Yes,,
,Time 2,,Measurements-Word Problem,"{Yes,No}",True,2,AC,,Yes,,
,Solid Shapes 2,,Shapes,"{Yes,No}",True,2,AC,,Yes,,
